qubit_num,typeT1T2,time,mean,std
26,T1,2023-09-12 13:07:56,82.25828970404011,1.0161716575073623
0,T1,2023-09-12 13:15:04,123.80704105277633,1.7455642626442085
1,T1,2023-09-12 13:15:04,137.2096091203599,2.010384793617031
2,T1,2023-09-12 13:15:04,62.784806402190476,0.7307980693272679
3,T1,2023-09-12 13:15:04,135.01788591502836,1.9661765770966617
4,T1,2023-09-12 13:15:04,66.64362395923132,0.7839074967478038
5,T1,2023-09-12 13:15:04,108.05428056702738,1.4518652236179466
6,T1,2023-09-12 13:15:04,113.10621645900171,1.543907936546765
7,T1,2023-09-12 13:15:04,103.74710428445879,1.3750503576735102
8,T1,2023-09-12 13:15:04,259.9084161632383,4.971747997357212
9,T1,2023-09-12 13:15:04,103.4761489419112,1.3702700887529282
