Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.4081637859344482,0.778,0.429,0.011,0.005,0.004,0.012,0.0,0.0,0.012,0.037,0.003,0.0,0.014,0.002,0.013,0.007,0.451
1.2735724449157715,0.814,0.442,0.005,0.009,0.003,0.014,0.0,0.0,0.014,0.032,0.0,0.001,0.011,0.0,0.006,0.002,0.461
1.381753921508789,0.794,0.459,0.009,0.008,0.003,0.005,0.0,0.0,0.011,0.043,0.001,0.0,0.011,0.004,0.009,0.007,0.43
1.2930777072906494,0.82,0.441,0.009,0.004,0.003,0.01,0.001,0.0,0.009,0.034,0.0,0.0,0.012,0.003,0.006,0.006,0.462
1.29996657371521,0.816,0.47,0.002,0.007,0.002,0.012,0.001,0.0,0.013,0.033,0.0,0.001,0.01,0.001,0.009,0.006,0.433
1.3033030033111572,0.766,0.425,0.007,0.005,0.0,0.012,0.0,0.0,0.018,0.045,0.003,0.003,0.012,0.004,0.013,0.005,0.448
1.2689480781555176,0.818,0.44,0.003,0.008,0.001,0.008,0.0,0.0,0.011,0.04,0.001,0.0,0.013,0.003,0.007,0.001,0.464
1.332146406173706,0.8,0.437,0.001,0.011,0.0,0.01,0.0,0.0,0.013,0.038,0.001,0.0,0.01,0.002,0.013,0.004,0.46
1.3807601928710938,0.788,0.449,0.008,0.005,0.003,0.008,0.0,0.0,0.016,0.035,0.0,0.0,0.017,0.001,0.015,0.002,0.441
1.238520860671997,0.796,0.432,0.01,0.005,0.002,0.008,0.0,0.0,0.017,0.034,0.0,0.002,0.01,0.003,0.01,0.008,0.459
1.332050085067749,0.824,0.453,0.006,0.008,0.001,0.014,0.0,0.0,0.008,0.035,0.002,0.002,0.006,0.001,0.009,0.002,0.453
1.3432724475860596,0.768,0.446,0.01,0.009,0.0,0.009,0.001,0.0,0.018,0.039,0.0,0.0,0.01,0.002,0.017,0.004,0.435
1.3344001770019531,0.788,0.437,0.005,0.002,0.003,0.016,0.0,0.0,0.008,0.04,0.0,0.0,0.019,0.002,0.014,0.002,0.452
1.402674913406372,0.774,0.446,0.007,0.007,0.002,0.01,0.001,0.0,0.015,0.044,0.001,0.001,0.015,0.002,0.009,0.006,0.434
