Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.2076282501220703,0.187,0.001,0.005,0.0055,0.0245,0.0025,0.0205,0.0095,0.0965,0.0035,0.02,0.0175,0.11,0.0235,0.095,0.0885,0.477
1.2585086822509766,0.218,0.0,0.006,0.003,0.0235,0.0035,0.017,0.0125,0.09,0.0025,0.024,0.017,0.1005,0.016,0.0955,0.09,0.499
1.2490370273590088,0.225,0.002,0.006,0.0035,0.0215,0.0035,0.018,0.016,0.092,0.0035,0.024,0.016,0.0845,0.0195,0.0975,0.097,0.4955
1.2332673072814941,0.259,0.0005,0.005,0.0035,0.0235,0.0025,0.0195,0.0205,0.093,0.004,0.025,0.012,0.0955,0.0175,0.084,0.083,0.511
1.2776007652282715,0.219,0.001,0.004,0.0065,0.023,0.0025,0.0205,0.017,0.0875,0.003,0.03,0.0215,0.0995,0.0155,0.095,0.0925,0.481
1.2037396430969238,0.234,0.0,0.003,0.0035,0.0205,0.0045,0.0175,0.0145,0.0885,0.005,0.024,0.0155,0.1065,0.0195,0.092,0.08,0.5055
1.2383370399475098,0.217,0.001,0.0075,0.0055,0.024,0.003,0.018,0.016,0.0975,0.0045,0.0245,0.019,0.087,0.0175,0.089,0.0975,0.4885
1.2509584426879883,0.245,0.0,0.0015,0.0015,0.025,0.0035,0.0165,0.0165,0.079,0.0045,0.0225,0.02,0.1065,0.021,0.093,0.088,0.501
1.2275543212890625,0.235,0.0,0.007,0.0025,0.0185,0.004,0.0165,0.0125,0.101,0.0055,0.02,0.0155,0.0955,0.025,0.0875,0.0795,0.5095
1.3350858688354492,0.213,0.0005,0.005,0.007,0.0245,0.0025,0.0185,0.0135,0.0825,0.0065,0.021,0.019,0.097,0.015,0.101,0.092,0.4945
1.2003700733184814,0.236,0.0,0.004,0.0025,0.0235,0.001,0.016,0.0175,0.0915,0.003,0.0235,0.016,0.0945,0.027,0.0955,0.09,0.4945
